"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 26 15:48:26 CST 2022","Sat Mar 26 15:48:26 CST 2022","0","testsuite","test_02","TestQuite","","","test01",""
"passed","Sun Mar 20 22:51:44 CST 2022","Sun Mar 20 22:51:44 CST 2022","0","webdemo1","test_02","TestQuite","","","test02",""
"passed","Sat Mar 26 15:48:26 CST 2022","Sat Mar 26 15:48:26 CST 2022","0","testsuite","test_02","TestQuite","","","test02",""
"passed","Sat Mar 26 15:48:26 CST 2022","Sat Mar 26 15:48:26 CST 2022","0","testsuite","test_02","TestQuite","","","test03",""
"passed","Sat Mar 26 15:48:26 CST 2022","Sat Mar 26 15:48:26 CST 2022","0","testsuite","test_02","TestQuite","","","test05",""
"passed","Sat Mar 26 15:48:26 CST 2022","Sat Mar 26 15:48:26 CST 2022","0","testsuite","test_02","TestQuite","","","test04",""
"passed","Sun Mar 20 22:51:44 CST 2022","Sun Mar 20 22:51:44 CST 2022","0","webdemo1","test_02","TestQuite","","","test03",""
"broken","Tue Mar 22 13:10:23 CST 2022","Tue Mar 22 13:10:23 CST 2022","32","webdemo1","test_03","TestDemo","","","正常流程","用户登录接口"
"passed","Sun Mar 20 22:51:44 CST 2022","Sun Mar 20 22:51:44 CST 2022","0","webdemo1","test_02","TestQuite","","","test04",""
"passed","Sun Mar 20 22:51:44 CST 2022","Sun Mar 20 22:51:44 CST 2022","0","webdemo1","test_02","TestQuite","","","test01",""
